external_gene_name,NIH_accession,NIH_description,GO terms
ERG28,erg28,ergosterol biosynthesis 28 homolog,
YTHDF2,ythdf2,YTH N6-methyladenosine RNA binding protein F2,
kif26ab,kif26ab,kinesin family member 26Ab,
rab5c,LOC111566728,ras-related protein Rab-5C-like,
AFAP1L2,afap1l2,actin filament associated protein 1-like 2,
KBTBD13,,,
STUB1,stub1,STIP1 homology and U-Box containing protein 1,
GJC1,LOC111567297,gap junction gamma-1 protein-like,
ZNF503,LOC111574792,zinc finger protein 503-like,
MED1,med1,mediator complex subunit 1,
NEUROD2,LOC111566721,neurogenic differentiation factor 2-like,
PPP1R1B,LOC111566722,protein phosphatase 1 regulatory subunit 1B-like,
PNMT,,,
wfikkn2b,LOC111574400,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2-like",membrane
zgc:91999,LOC111582624,protein kinase C and casein kinase substrate in neurons protein 3-like,
RYR3,LOC111587668,ryanodine receptor 3-like,
CCDC112,LOC111579037,nucleolar transcription factor 1-like,
sp8b,sp8b,sp8 transcription factor b,
NCAPD2,ncapd2,"non-SMC condensin I complex, subunit D2",
DNMBP,dnmbp,dynamin binding protein,
TNFRSF19,tnfrsf19,"tumor necrosis factor receptor superfamily, member 19",membrane
mmp20b,LOC111569195,matrix metalloproteinase-20-like,metal ion binding
SSR3,ssr3,"signal sequence receptor, gamma",
KCNAB1,kcnab1a,potassium voltage-gated channel subfamily A regulatory beta subunit 1a,
kcnj1a.6,kcnj1a.1,"potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 1",
ELP1,,,
pdcd10a,pdcd10a,programmed cell death 10a,
SERPINI1,serpini1,"serpin peptidase inhibitor, clade I (neuroserpin), member 1",
LAMB2,lamb2,"laminin, beta 2 (laminin S)",
CEP85L,cep85l,"centrosomal protein 85, like",
MCM9,,,DNA binding
grk7b,grk7b,G protein-coupled receptor kinase 7b,
TACC1,,,
SNX14,snx14,sorting nexin 14,
samsn1a,samsn1a,"SAM domain, SH3 domain and nuclear localisation signals 1a",
lrrc4.1,lrrc4.1,leucine rich repeat containing 4.1,
LBH,,,
slc6a1l,slc6a1l,"solute carrier family 6 member 1, like",
IGSF11,,,
grm5b,grm5b,"glutamate receptor, metabotropic 5b",
rab11fip4b,rab11fip4b,RAB11 family interacting protein 4 (class II) b,membrane
MB,mb,myoglobin,heme binding
serhl,,,
ZNF207,znf207b,"zinc finger protein 207, b",
mchr1a,mchr1a,melanin-concentrating hormone receptor 1a,
SLC44A1,LOC111581933,choline transporter-like protein 1,
cnga1a,cnga1a,cyclic nucleotide gated channel subunit alpha 1a,
SPOCK3,,,
rnf11a,rnf11a,ring finger protein 11a,metal ion binding
PRPF38A,prpf38a,pre-mRNA processing factor 38A,
lrrc24,lrrc24,leucine rich repeat containing 24,
SMIM14,smim14,small integral membrane protein 14,
,misp3,MISP family member 3,
DOHH,dohh,deoxyhypusine hydroxylase/monooxygenase,
ube2ka,,,
UROS,,,
CHERP,cherp,calcium homeostasis endoplasmic reticulum protein,
SPX,,,
PDS5A,pds5a,PDS5 cohesin associated factor A,nucleus
myl2a,myl2b,"myosin, light chain 2b, regulatory, cardiac, slow",
iqsec3a,iqsec3a,IQ motif and Sec7 domain ArfGEF 3a,regulation of ARF protein signal transduction
,LOC111571513,"troponin I, slow skeletal muscle-like",
NRF1,nrf1,nuclear respiratory factor 1,
SNRNP200,snrnp200,small nuclear ribonucleoprotein 200 (U5),
GRIK3,grik3,glutamate ionotropic receptor kainate type subunit 3,membrane
SAP30BP,sap30bp,SAP30 binding protein,
ipmkb,ipmkb,inositol polyphosphate multikinase b,
,LOC129347379,cell division control protein 2 homolog 3-like,ATP binding
UTS2R,LOC111570567,urotensin-2 receptor,
slc2a11a,LOC111571613,"solute carrier family 2, facilitated glucose transporter member 11-like",
,LOC111588281,uncharacterized LOC111588281,
sult2st2,LOC111570216,sulfotransferase 2B1-like,
RAB26,LOC111571623,ras-related protein Rab-26,
si:ch73-389b16.2,btbd8,BTB domain containing 8,
CLUAP1,cluap1,clusterin associated protein 1,
CCDC124,ccdc124,coiled-coil domain containing 124,
POLN,kcnn1b,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1b",membrane
aipl2,LOC118470520,aryl-hydrocarbon-interacting protein-like 1,
CENPI,cenpi,centromere protein I,
GANAB,ganabb,glucosidase II alpha subunit b,catalytic activity
her6,,,
C1orf146,LOC111579961,protein SPO16 homolog,synaptonemal complex assembly
glmnb,LOC111579960,glomulin-like,
UHRF1,uhrf1,ubiquitin-like with PHD and ring finger domains 1,
ran,,,
KANSL1L,kansl1l,KAT8 regulatory NSL complex subunit 1-like,histone acetyltransferase complex
cxcr2,cxcr2,chemokine (C-X-C motif) receptor 2,
adarb1b,adarb1b,adenosine deaminase RNA specific B1b,
RAPGEF5,LOC111588874,rap guanine nucleotide exchange factor 5-like,guanyl-nucleotide exchange factor activity
wu:fj39g12,nppcl,natriuretic peptide C-like,
GAPDH,gapdh,glyceraldehyde-3-phosphate dehydrogenase,oxidoreductase activity
si:ch211-254p10.2,si:ch211-254p10.2,solute carrier family 40 member 1,membrane
MACC1,macc1,MET transcriptional regulator MACC1,nucleus
SLC6A18,LOC111588869,sodium-dependent neutral amino acid transporter B(0)AT1-like,
OPA1,opa1,OPA1 mitochondrial dynamin like GTPase,
PAFAH1B1,LOC111572996,lissencephaly-1 homolog,cytoplasm
PDE9A,pde9aa,phosphodiesterase 9aa,metal ion binding
slc6a19b,,,
CLPTM1,clptm1,CLPTM1 regulator of GABA type A receptor forward trafficking,
EML6,LOC111572928,echinoderm microtubule-associated protein-like 6,
TAF7,taf7,"TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor",
slc9a6a,,,membrane
AKAP11,akap11,A kinase (PRKA) anchor protein 11,
cxcr1,LOC111578399,C-X-C chemokine receptor type 1-like,membrane
CCDC80,ccdc80,coiled-coil domain containing 80,
SPTBN1,LOC111572926,"spectrin beta chain, non-erythrocytic 1",membrane
ODAM,odam,"odontogenic, ameloblast associated",
ZGLP1,,,sequence-specific DNA binding
UGT8,ugt8,UDP glycosyltransferase 8,
PRSS12,prss12,serine protease 12,membrane
METTL14,mettl14,"methyltransferase 14, N6-adenosine-methyltransferase subunit",
si:zfos-323e3.4,si:zfos-323e3.4,volume-regulated anion channel subunit LRRC8C,
ATF7IP,atf7ip,activating transcription factor 7 interacting protein,
KLF3,klf3,Kruppel-like factor 3 (basic),
GTF2E2,gtf2e2,"general transcription factor IIE, polypeptide 2, beta",
SMIM18,smim18,small integral membrane protein 18,
cacng5a,cacng5a,"calcium channel, voltage-dependent, gamma subunit 5a",
N4BP2,n4bp2,NEDD4 binding protein 2,DNA binding
RHBDF2,LOC111564216,inactive rhomboid protein 2,
,LOC111563314,nck-associated protein 5-like,
DDX18,ddx18,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18,
pfkla,,,metal ion binding
FGFR4,,,
opn9,opn9,opsin 9,membrane
fhod3b,fhod3b,formin homology 2 domain containing 3b,
wdr60,dync2i1,dynein 2 intermediate chain 1,cilium
GPAM,gpam,"glycerol-3-phosphate acyltransferase, mitochondrial",membrane
si:ch73-174h16.5,wdr97,WD repeat domain 97,
si:ch73-174h16.4,si:ch73-174h16.4,leucine-rich repeat-containing protein 14,cytoplasm
slco5a1a,LOC111583007,solute carrier organic anion transporter family member 5A1,
SULF1,sulf1,sulfatase 1,
cdhr1a,cdhr1a,cadherin-related family member 1a,membrane
cers2a,cers2a,ceramide synthase 2a,
dtnbp1b,dtnbp1b,dystrobrevin binding protein 1b,
mylipa,mylipa,myosin regulatory light chain interacting protein a,
GMPR,,,
CLDN19,cldn19,claudin 19,membrane
WDR1,,,
anxa11a,anxa11a,annexin A11a,
rxrbb,rxrbb,"retinoid x receptor, beta b",
KLHDC10,klhdc10,kelch domain containing 10,
RECQL,recql,RecQ helicase-like,
atxn1a,atxn1a,ataxin 1a,DNA binding
fam8a1a,fam8a1a,family with sequence similarity 8 member A1a,
fabp11a,fabp4a,fatty acid binding protein 4a,
mrpl53,mrpl53,mitochondrial ribosomal protein L53,
PAG1,pag1,phosphoprotein membrane anchor with glycosphingolipid microdomains 1,
ZNF704,znf704,zinc finger protein 704,metal ion binding
SLC4A7,LOC111569693,sodium bicarbonate cotransporter 3-like,
GK2,LOC111564220,glycerol kinase-like,
iffo1b,iffo1b,intermediate filament family orphan 1b,intermediate filament
,LOC111588824,macrophage mannose receptor 1,
c4b,c4b,complement C4B (Chido/Rodgers blood group),extracellular region
ARHGAP18,arhgap18,Rho GTPase activating protein 18,
FKBP6,fkbp6,FKBP prolyl isomerase 6,peptidyl-prolyl cis-trans isomerase activity
UBE2J1,ube2j1,"ubiquitin-conjugating enzyme E2, J1",
GRIK2,LOC111566453,"glutamate receptor ionotropic, kainate 2",
CYP21A2,LOC111588846,steroid 21-hydroxylase,monooxygenase activity
TNFRSF1A,tnfrsf1a,"tumor necrosis factor receptor superfamily, member 1a",
MTERF2,,,
,LOC111586341,lymphocyte activation gene 3 protein-like,membrane
,mrpl51,mitochondrial ribosomal protein L51,
zgc:92912,LOC111586338,synaptobrevin-like,
AIF1,LOC111588850,allograft inflammatory factor 1-like,metal ion binding
EPN1,epn1a,epsin 1a,lipid binding
sbk3,,,nucleotide binding
MFAP5,mfap5,microfibril associated protein 5,
cgna,LOC111583766,cingulin,
NECAP1,LOC111586369,adaptin ear-binding coat-associated protein 1-like,
tuft1a,tuft1a,tuftelin 1a,
csnk2b,LOC111588843,casein kinase II subunit beta,protein kinase regulator activity
EIF5B,,,
NDUFS6,ndufs6,NADH:ubiquinone oxidoreductase subunit S6,
irx1b,irx1b,iroquois homeobox 1b,DNA binding
irx4b,irx4b,iroquois homeobox 4b,DNA binding
mrpl36,,,
FERD3L,LOC111573785,fer3-like protein,
twist1a,twist1a,twist family bHLH transcription factor 1a,
smarcc1b,,,
MAJIN,,,DNA binding
PAIP2B,paip2b,poly(A) binding protein interacting protein 2B,mRNA regulatory element binding translation repressor activity
HSPA12B,hspa12b,heat shock protein 12B,sprouting angiogenesis
pvalb6,pvalb6,parvalbumin 6,metal ion binding
zgc:158376,zgc:158376,uncharacterized LOC111563044,metal ion binding
zgc:171844,zgc:171844,uncharacterized LOC111584450,
DDX17,LOC111580807,probable ATP-dependent RNA helicase DDX17,
ASTE1,aste1b,asteroid homolog 1b,
KLHL7,klhl7,kelch-like family member 7,protein ubiquitination
PUM1,,,
MAPK10,mapk10,mitogen-activated protein kinase 10,
kcnk5b,LOC111577054,potassium channel subfamily K member 5-like,
PON1,LOC111577055,serum paraoxonase/arylesterase 2-like,
PON1,LOC111577062,serum paraoxonase/arylesterase 2-like,metal ion binding
PON1,LOC111577060,serum paraoxonase/arylesterase 2-like,metal ion binding
csnk2a1,LOC111577051,casein kinase II subunit alpha-like,
UBE2H,,,
hgfa,hgfa,hepatocyte growth factor a,serine-type endopeptidase activity
MED29,med29,mediator complex subunit 29,eye photoreceptor cell development
ALKBH8,alkbh8,"alkB homolog 8, tRNA methyltransferase",
FXYD6,fxyd6,FXYD domain containing ion transport regulator 6,
tmprss13b,,,membrane
cluha,cluha,clustered mitochondria (cluA/CLU1) homolog a,RNA binding
cacna2d1a,cacna2d1a,"calcium channel, voltage-dependent, alpha 2/delta subunit 1a",
ap1m3,ap1m3,adaptor related protein complex 1 subunit mu 3,
AICDA,,,metal ion binding
,tyrobp,transmembrane immune signaling adaptor TYROBP,
Zfp628,,,
C1orf43,c9h1orf43,chromosome 9 C1orf43 homolog,
CRYBG1,si:dkey-92i15.4,uncharacterized si:dkey-92i15.4,cytoplasm
aqp10a,aqp10a,aquaporin 10a,
,atp8b2,ATPase phospholipid transporting 8B2,
CRMP1,,,
march4,,,glutathione biosynthetic process
ccl25b,ccl25b,chemokine (C-C motif) ligand 25b,chemokine activity
,LOC111570624,serine/threonine-protein kinase NIM1,membrane
POLE4,pole4,"polymerase (DNA-directed), epsilon 4, accessory subunit",
CERS1,,,membrane
ccnb3,haus8,HAUS augmin like complex subunit 8,
LOX,,,
ARHGDIA,LOC111575062,rho GDP-dissociation inhibitor 1-like,
elfn1b,LOC111587662,protein ELFN1-like,membrane
elfn2a,elfn2a,extracellular leucine-rich repeat and fibronectin type III domain containing 2a,
pebp1,pebp1,phosphatidylethanolamine binding protein 1,
si:ch73-380n15.2,LOC111579061,neuronal acetylcholine receptor subunit alpha-7-like,membrane
VSIG10,vsig10,V-set and immunoglobulin domain containing 10,
HIC2,hic2,hypermethylated in cancer 2,
CASTOR1,castor1,cytosolic arginine sensor for mTORC1 subunit 1,cytoplasm
prnprs3,LOC111566718,uncharacterized LOC111566718,
prnprs3,prnpb,prion protein b,
LETM2,letm2,leucine zipper-EF-hand containing transmembrane protein 2,membrane
NSD3,nsd3,nuclear receptor binding SET domain protein 3,
BCR,arhgef18b,rho/rac guanine nucleotide exchange factor (GEF) 18b,
zgc:113625,,,nucleotide binding
nos1apa,nos1apa,nitric oxide synthase 1 (neuronal) adaptor protein a,
LRRC7,lrrc7,leucine rich repeat containing 7,
rybpa,rybpb,RING1 and YY1 binding protein b,
ppp4r2b,ppp4r2b,"protein phosphatase 4, regulatory subunit 2b",
pdzrn3b,pdzrn3b,PDZ domain containing RING finger 3b,metal ion binding
FTSJ3,ftsj3,FtsJ RNA 2'-O-methyltransferase 3,
,zmat1,zinc finger matrin-type 1,
gnrh2,gnrh2,gonadotropin-releasing hormone 2,extracellular region
gnrh1,LOC111571064,gonadotropin releasing hormone 1,
PROK2,,,
EIF4E3,LOC111566146,eukaryotic translation initiation factor 4E type 3,
foxp1b,foxp1b,forkhead box P1b,metal ion binding
CLCC1,clcc1,chloride channel CLIC-like 1,
MCOLN2,,,
il11a,il11a,interleukin 11a,
RASIP1,rasip1,Ras interacting protein 1,vasculature development
cox6b2,LOC111585488,cytochrome c oxidase subunit 6B1,
M6PR,m6pr,mannose-6-phosphate receptor (cation dependent),
LPAR3,LOC129350855,lysophosphatidic acid receptor 3-like,
IL6R,il6r,interleukin 6 receptor,membrane
PHC1,,,
styk1b,styk1b,serine/threonine/tyrosine kinase 1b,membrane
STYXL2,,,
gstk4,LOC111576829,glutathione S-transferase kappa 1-like,
,LOC111562999,regulatory subunit of type II PKA R-subunit domain containing 1,
zgc:92606,zgc:92606,uncharacterized LOC111568932,
si:dkey-71b5.7,otoa,otoancorin,
znf687a,znf687a,zinc finger protein 687a,
si:dkey-26c10.5,si:dkey-26c10.5,uncharacterized LOC111568949,
psmd4a,LOC111562993,26S proteasome non-ATPase regulatory subunit 4-like,proteasome complex
trpv6,trpv6,"transient receptor potential cation channel, subfamily V, member 6",
EPHB6,ephb6,eph receptor B6,
SHE,she,Src homology 2 domain containing E,
si:ch1073-90m23.1,rap1gapl,RAP1 GTPase activating protein-like,
CASP2,casp2,"caspase 2, apoptosis-related cysteine peptidase",regulation of apoptotic process
FLAD1,flad1,flavin adenine dinucleotide synthetase 1,
zgc:123107,LOC111563420,"mamu class II histocompatibility antigen, DR alpha chain-like",membrane
PNKP,LOC111589086,7SK snRNA methylphosphate capping enzyme-like,transferase activity
CORIN,,,membrane
rbm7,rbm7,RNA binding motif protein 7,
mmp13b,mmp13b,matrix metallopeptidase 13b,metal ion binding
MCOLN2,mcoln2,mucolipin TRP cation channel 2,
MCOLN2,LOC111564518,mucolipin TRP cation channel 2,
TMEM129,si:dkey-52l18.4,uncharacterized LOC111581760,membrane
CFAP410,LOC111587521,uncharacterized LOC111587521,
PALB2,zbbx,"zinc finger, B-box domain containing",
ACOT7,acot7,acyl-CoA thioesterase 7,
LPAR3,LOC111586262,lysophosphatidic acid receptor 3,
SGCG,sgcg,"sarcoglycan, gamma",
ephb2a,epha4l,"eph receptor A4, like",
TAS1R1,,,membrane
CIAO1,ciao1,cytosolic iron-sulfur assembly component 1,iron-sulfur cluster assembly
ASB6,,,intracellular signal transduction
DPYSL2,dpysl2a,dihydropyrimidinase like 2a,
SHC1,shc1,SHC (Src homology 2 domain containing) transforming protein 1,
ndnfl,ndnfl,"neuron-derived neurotrophic factor , like",extracellular region
cnrip1b,cnrip1b,cannabinoid receptor interacting protein 1b,
RYR2,ryr2b,ryanodine receptor 2b (cardiac),
efna1b,efna1b,ephrin-A1b,membrane
efna3b,efna3b,ephrin-A3b,
si:dkey-246i14.3,si:dkey-246i14.3,ephrin A4,
pbxip1b,pbxip1b,pre-B-cell leukemia homeobox interacting protein 1b,
s100t,s100t,S100 calcium binding protein T,
CHRNB2,chrnb2,"cholinergic receptor, nicotinic, beta 2",membrane
S100A11,LOC111566087,protein S100-A13-like,
si:ch211-105c13.3,si:ch211-105c13.3,uncharacterized LOC111566075,
slc2a3b,slc2a3b,solute carrier family 2 member 3b,
ZC3HC1,zc3hc1,"zinc finger, C3HC-type containing 1",
PARP11,LOC111571519,protein mono-ADP-ribosyltransferase PARP11,
PARP11,LOC111571515,protein mono-ADP-ribosyltransferase PARP11,
SLC5A8,LOC111576566,sodium-coupled monocarboxylate transporter 1-like,
sh2d3ca,sh2d3ca,SH2 domain containing 3Ca,guanyl-nucleotide exchange factor activity
SLC5A1,slc5a1,solute carrier family 5 member 1,
atcaya,atcaya,ATCAY kinesin light chain interacting caytaxin a,
,vtg3,"vitellogenin 3, phosvitinless",
NEUROD4,neurod4,neuronal differentiation 4,
GNAT2,gnat2,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2",
chmp4bb,LOC111577703,charged multivesicular body protein 4b,cilium assembly
hspa1b,hspa1b,heat shock protein family A (Hsp70) member 1B,nucleotide binding
adcy6b,LOC111576524,adenylate cyclase type 6-like,
lyrm5a,lyrm5a,LYR motif containing 5a,
casc1,dnai7,dynein axonemal intermediate chain 7,
lrmp,lrmp,lymphoid-restricted membrane protein,membrane
BCAT1,bcat1,"branched chain amino-acid transaminase 1, cytosolic",transferase activity
FBXL14,fbxl14b,F-box and leucine-rich repeat protein 14b,
,LOC111573509,small nucleolar RNA SNORA53,
,LOC111573508,small nucleolar RNA SNORA53,
SLC9B1,,,
dre-mir-135a,,,RISC complex
dre-mir-182,,,miRNA-mediated gene silencing
plvapa,plvapa,plasmalemma vesicle associated protein a,membrane
nr2f6a,nr2f6a,"nuclear receptor subfamily 2, group F, member 6a",
hs2st1a,hs2st1a,heparan sulfate 2-O-sulfotransferase 1a,
slc1a7a,slc1a7a,solute carrier family 1 member 7a,membrane
TMEM106A,tmem106a,transmembrane protein 106A,
znf648,LOC111585478,oocyte zinc finger protein XlCOF6.1-like,
kcnj2a,kcnj2a,potassium inwardly rectifying channel subfamily J member 2a,
KCNJ16,kcnj16a,potassium inwardly rectifying channel subfamily J member 16a,
VIPR2,,,membrane
rln1,rln1,relaxin 1,
,si:ch211-241b2.5,uncharacterized si:ch211-241b2.5,
MRRF,mrrf,mitochondrial ribosome recycling factor,translation
nbr1a,nbr1a,NBR1 autophagy cargo receptor a,
si:ch1073-13h15.3,si:ch1073-13h15.3,"inactive all-trans-retinol 13,14-reductase",oxidoreductase activity
WBP1,wbp1,WW domain binding protein 1,
ARL3,LOC111567308,ADP-ribosylation factor-like protein 3,membrane
PSME3,psme3,proteasome activator subunit 3,
PAX8,pax8,paired box 8,
galr2a,,,
ASS1,ass1,argininosuccinate synthase 1,
GIGYF2,gigyf2,GRB10 interacting GYF protein 2,
KNCN,kncn,kinocilin,membrane
gpc1b,gpc1b,glypican 1b,membrane
FAM131A,fam131aa,family with sequence similarity 131 member Aa,
gngt2b,gngt2b,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2b",
CHUK,LOC111567460,inhibitor of nuclear factor kappa-B kinase subunit alpha-like,
clcn2a,clcn2a,"chloride channel, voltage-sensitive 2a",
SSBP4,ssbp4,single stranded DNA binding protein 4,
,LOC111564719,lymphocyte antigen 6S-like,
TMEM167A,,,
MYORG,LOC111564695,myogenesis-regulating glycosidase-like,
UBAC1,ubac1,UBA domain containing 1,
kank1a,kank1a,KN motif and ankyrin repeat domains 1a,negative regulation of actin filament polymerization
CFAP157,cfap157,cilia and flagella associated protein 157,cilium
RNF122,rnf122,ring finger protein 122,
GGH,LOC111564690,nicotinamide riboside kinase 1,
NMRK1,LOC111564690,nicotinamide riboside kinase 1,
OSTF1,ostf1,osteoclast stimulating factor 1,
ZFR2,zfr2,zinc finger RNA binding protein 2,
LRRC40,lrrc40,leucine rich repeat containing 40,
TRABD2B,trabd2b,TraB domain containing 2B,metal ion binding
TNFAIP8L1,tnfaip8l1,"tumor necrosis factor, alpha-induced protein 8-like 1",
MYDGF,mydgf,myeloid-derived growth factor,
MATK,,,
cts12,cts12,cathepsin 12,hydrolase activity
ANKRD29,ankrd29,ankyrin repeat domain 29,
si:ch211-121a2.4,si:ch211-121a2.4,transmembrane protein 205,
oaz1a,,,
PARN,parn,poly(A)-specific ribonuclease (deadenylation nuclease),
TMEM59L,tmem59l,transmembrane protein 59-like,axon extension
ncanb,ncanb,neurocan b,membrane
NR2C2AP,nr2c2ap,nuclear receptor 2C2-associated protein,
RFXANK,rfxank,regulatory factor X-associated ankyrin-containing protein,
BORCS8,borcs8,BLOC-1 related complex subunit 8,
si:ch211-125m10.6,tmem221,transmembrane protein 221,
si:dkey-86e18.1,si:dkey-86e18.1,tumor necrosis factor ligand superfamily member 6,
FASLG,si:dkey-86e18.1,tumor necrosis factor ligand superfamily member 6,
,LOC111563469,ras-related protein Rab-11B-like,
MDFIC2,mdfic2,MyoD family inhibitor domain containing 2,
THOC7,thoc7,THO complex 7,
mxb,LOC111574765,interferon-induced GTP-binding protein Mx-like,
SIN3B,sin3b,SIN3 transcription regulator family member B,
AMH,amh,anti-Mullerian hormone,membrane
DOT1L,dot1l,DOT1-like histone H3K79 methyltransferase,
crlf1b,crlf1b,cytokine receptor-like factor 1b,
MEF2B,,,
FRYL,,,
REXO5,LOC111587653,RNA exonuclease 5,membrane
DOK7,dok7b,docking protein 7b,
MAPKAPK5,mapkapk5,MAPK activated protein kinase 5,
LRPAP1,,,
pcdh10a,pcdh10a,protocadherin 10a,membrane
TBC1D10C,tbc1d10c,"TBC1 domain family, member 10C",
ERI2,eri2,ERI1 exoribonuclease family member 2,
RAD9A,rad9a,RAD9 checkpoint clamp component A,
THUMPD1,thumpd1,THUMP domain containing 1,
PPP1R12C,ppp1r12c,"protein phosphatase 1, regulatory subunit 12C",protein kinase binding
p2rx3a,p2rx3a,"purinergic receptor P2X, ligand-gated ion channel, 3a",membrane
ssrp1a,ssrp1a,structure specific recognition protein 1a,
QPRT,LOC111575057,nicotinate-nucleotide pyrophosphorylase [carboxylating],
,zmp:0000001082,integrin alpha-D,
ATXN2,atxn2,ataxin 2,
ccl44,ccl44,chemokine (C-C motif) ligand 44,
xpr1a,xpr1a,xenotropic and polytropic retrovirus receptor 1a,
SEMA6A,sema6a,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",
LRIT2,lrit2,"leucine-rich repeat, immunoglobulin-like and transmembrane domains 2",
lrit1a,lrit1a,"leucine-rich repeat, immunoglobulin-like and transmembrane domains 1a",
ACBD6,acbd6,acyl-CoA binding domain containing 6,
rgra,rgra,retinal G protein coupled receptor a,
slc18a3a,slc18a3a,solute carrier family 18 member 3a,membrane
chata,chata,choline O-acetyltransferase a,
LHX4,lhx4,LIM homeobox 4,ventral spinal cord interneuron specification
QSOX1,qsox1,quiescin Q6 sulfhydryl oxidase 1,oxidoreductase activity
SLC1A6,slc1a6,solute carrier family 1 member 6,
nfil3-5,nfil3-2,"nuclear factor, interleukin 3 regulated, member 2",
CPSF4,cpsf4,cleavage and polyadenylation specific factor 4,metal ion binding
atp5mf,atp5mf,ATP synthase membrane subunit f,membrane
clcn5b,clcn5b,"chloride channel, voltage-sensitive 5b",membrane
PEX12,pex12,peroxisomal biogenesis factor 12,metal ion binding
GPS1,gps1,G protein pathway suppressor 1,
zgc:113054,zgc:113054,uncharacterized LOC111566138,transferase activity
si:ch211-117k10.3,si:ch211-117k10.3,Krueppel-like factor 15,nucleus
CD8A,cd8a,CD8a molecule,membrane
CAST,cast,calpastatin,
TAX1BP3,tax1bp3,Tax1 (human T-cell leukemia virus type I) binding protein 3,
HSH2D,hsh2d,hematopoietic SH2 domain containing,
C10orf53,c16h10orf53,chromosome 16 C10orf53 homolog,
SANBR,,,membrane
OGDHL,ogdhl,oxoglutarate dehydrogenase L,
RAB8A,LOC111570617,ras-related protein Rab-8A,membrane
tnfsf10l,tnfsf10l,"TNF superfamily member 10, like",metal ion binding
si:ch73-71d17.2,si:ch73-71d17.2,RPA-related protein RADX,
,asgr1a,asialoglycoprotein receptor 1a,
CYB5D1,LOC111567094,cytochrome b5 domain-containing protein 1,cilium movement
SLC12A6,LOC111583416,solute carrier family 12 member 6-like,
SLC16A7,LOC111586195,monocarboxylate transporter 2-like,membrane
KBTBD8,kbtbd8,kelch repeat and BTB (POZ) domain containing 8,
nucks1a,nucks1a,nuclear casein kinase and cyclin-dependent kinase substrate 1a,
MAPK11,,,
ELL2,ell2,elongation factor for RNA polymerase II 2,nucleus
ELK4,elk4,ETS transcription factor ELK4,
mfsd4aa,mfsd4aa,major facilitator superfamily domain containing 4Aa,membrane
slc25a23b,,,metal ion binding
RSPO4,rspo4,R-spondin 4,Wnt signaling pathway
GLRX,glrx,glutaredoxin (thioltransferase),
ssx2ipb,LOC111585840,afadin- and alpha-actinin-binding protein-like,cytoplasm
si:dkey-6b12.5,rhobtb3,Rho related BTB domain containing 3,
vtg5,LOC111585837,vitellogenin-1-like,
CDK18,cdk18,cyclin dependent kinase 18,
chmp2ba,cdca9,cell division cycle associated 9,
PLIN2,plin2,perilipin 2,
TENT5C,tent5c,terminal nucleotidyltransferase 5C,
zgc:174917,zgc:174917,uncharacterized LOC111587041,dioxygenase activity
si:ch211-153b23.4,si:ch211-153b23.4,uncharacterized LOC111587045,membrane
hspd1,hspd1,heat shock 60 protein 1,
HSPE1,LOC111583822,MOB-like protein phocein,
NYX,nyx,nyctalopin,
EFHC2,efhc2,EF-hand domain (C-terminal) containing 2,
OCIAD2,,,
slc35d1a,LOC111565085,UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter-like,membrane
ANKS1A,,,
PRADC1,LOC111566711,protease-associated domain-containing protein 1,
SPRING1,spring1,SREBF pathway regulator in golgi 1,
RNFT2,rnft2,"ring finger protein, transmembrane 2",metal ion binding
TBX15,tbx15,T-box transcription factor 15,DNA binding
GDAP2,gdap2,ganglioside induced differentiation associated protein 2,
USP6NL,usp6nl,USP6 N-terminal like,
si:ch211-153b23.5,si:ch211-153b23.5,uncharacterized LOC111587043,autophagy
PARP4,parp4,"poly (ADP-ribose) polymerase family, member 4",
WARS2,,,
WDR3,wdr3,WD repeat domain 3,nucleolus
CASK,,,
FBXW8,fbxw8,F-box and WD repeat domain containing 8,
CCT7,cct7,"chaperonin containing TCP1, subunit 7 (eta)",
cd59,,,
VWA2,vwa2,von Willebrand factor A domain containing 2,
COG7,,,membrane
,dbf4b,DBF4B-CDC7 kinase regulatory subunit,
si:ch211-28p3.4,si:ch211-28p3.4,E3 ubiquitin-protein ligase TRIM39,
CASP7,casp7,"caspase 7, apoptosis-related cysteine peptidase",
NRAP,nrap,nebulin-related anchoring protein,
HABP2,habp2,hyaluronan binding protein 2,extracellular region
tut1,,,metal ion binding
TBX6,,,
antxr1c,antxr1c,ANTXR cell adhesion molecule 1c,membrane
CD63,LOC111574802,CD63 antigen-like,
ATXN7L3,,,metal ion binding
mrtfba,mrtfba,myocardin related transcription factor Ba,
ERCC4,ercc4,excision repair cross-complementation group 4,DNA binding
tesca,tesca,tescalcin a,
nf2a,,,membrane
FBXO21,fbxo21,F-box protein 21,
PRXL2C,prxl2c,peroxiredoxin like 2C,
